# 2023-01-31 00:44:08.782709
LOCATION	TRANSLITERATE	TRANSLATE
(1,1,1)	بِسْمِ	dengan nama
(1,1,2)	ٱللَّهِ	Allah
(1,1,3)	ٱلرَّحْمَٰنِ	Maha Pengasih
(1,1,4)	ٱلرَّحِيمِ	Maha Penyayang
(1,2,1)	ٱلْحَمْدُ	pujian
(1,2,2)	لِلَّهِ	bagi Allah
(1,2,3)	رَبِّ	Tuhan
(1,2,4)	ٱلْعَٰلَمِينَ	alam semesta
(1,3,1)	ٱلرَّحْمَٰنِ	Maha Pengasih
(1,3,2)	ٱلرَّحِيمِ	Maha Penyayang
(1,4,1)	مَٰلِكِ	Penguasa
(1,4,2)	يَوْمِ	hari
(1,4,3)	ٱلدِّينِ	pembalasan
(1,5,1)	إِيَّاكَ	hanya kepadaMu
(1,5,2)	نَعْبُدُ	kami menyembah
(1,5,3)	وَإِيَّاكَ	dan hanya kepadaMu
(1,5,4)	نَسْتَعِينُ	kami mohon pertolongan
(1,6,1)	ٱهْدِنَا	tunjukkan kami
(1,6,2)	ٱلصِّرَٰطَ	jalan
(1,6,3)	ٱلْمُسْتَقِيمَ	lurus
(1,7,1)	صِرَٰطَ	jalan
(1,7,2)	ٱلَّذِينَ	orang-orang yang
(1,7,3)	أَنْعَمْتَ	diberi nikmat
(1,7,4)	عَلَيْهِمْ	kepadanya
(1,7,5)	غَيْرِ	bukan
(1,7,6)	ٱلْمَغْضُوبِ	orang yang dimurkai
(1,7,7)	عَلَيْهِمْ	kepadanya
(1,7,8)	وَلَا	dan tidak
(1,7,9)	ٱلضَّآلِّينَ	orang-orang yang sesat
(2,1,1)	الٓمٓ	Alif lam mim
(2,2,1)	ذَٰلِكَ	itu
(2,2,2)	ٱلْكِتَٰبُ	Kitab
(2,2,3)	لَا	tidak ada
(2,2,4)	رَيْبَۛ	keraguan
(2,2,5)	فِيهِۛ	didalamnya
(2,2,6)	هُدًى	petunjuk
(2,2,7)	لِّلْمُتَّقِينَ	bagi orang-orang yang takwa
(2,3,1)	ٱلَّذِينَ	orang-orang yang
(2,3,2)	يُؤْمِنُونَ	beriman
(2,3,3)	بِٱلْغَيْبِ	dengan yang gaib
(2,3,4)	وَيُقِيمُونَ	dan mereka mendirikan
(2,3,5)	ٱلصَّلَوٰةَ	sholat
(2,3,6)	وَمِمَّا	dan sebagian dari apa
(2,3,7)	رَزَقْنَٰهُمْ	telah Kami beri rezki kepada mereka
(2,3,8)	يُنفِقُونَ	mereka menafkahkan
(2,4,1)	وَٱلَّذِينَ	dan orang-orang yang
(2,4,2)	يُؤْمِنُونَ	beriman
(2,4,3)	بِمَآ	pada apa
(2,4,4)	أُنزِلَ	diturunkan
(2,4,5)	إِلَيْكَ	kepadamu
(2,4,6)	وَمَآ	dan apa
(2,4,7)	أُنزِلَ	diturunkan
(2,4,8)	مِن	dari
(2,4,9)	قَبْلِكَ	sebelum kamu
(2,4,10)	وَبِٱلْءَاخِرَةِ	dan pada hari akhirat
(2,4,11)	هُمْ	mereka
(2,4,12)	يُوقِنُونَ	mereka yakin
(2,5,1)	أُو۟لَٰٓئِكَ	mereka itu
(2,5,2)	عَلَىٰ	atas
(2,5,3)	هُدًى	petunjuk
(2,5,4)	مِّن	dari
(2,5,5)	رَّبِّهِمْۖ	Tuhan mereka
(2,5,6)	وَأُو۟لَٰٓئِكَ	dan mereka itu
(2,5,7)	هُمُ	mereka
(2,5,8)	ٱلْمُفْلِحُونَ	orang-orang yang beruntung
(2,6,1)	إِنَّ	sesungguhnya
(2,6,2)	ٱلَّذِينَ	orang-orang yang
(2,6,3)	كَفَرُوا۟	kafir/ingkar
(2,6,4)	سَوَآءٌ	sama
(2,6,5)	عَلَيْهِمْ	atas mereka
(2,6,6)	ءَأَنذَرْتَهُمْ	apakah engkau peringatkan mereka
(2,6,7)	أَمْ	atau
(2,6,8)	لَمْ	tidak
(2,6,9)	تُنذِرْهُمْ	engkau peringatkan mereka
(2,6,10)	لَا	tidak
(2,6,11)	يُؤْمِنُونَ	mereka beriman
(2,7,1)	خَتَمَ	menutup/mengunci
(2,7,2)	ٱللَّهُ	Allah
(2,7,3)	عَلَىٰ	atas
(2,7,4)	قُلُوبِهِمْ	hati mereka
(2,7,5)	وَعَلَىٰ	dan atas
(2,7,6)	سَمْعِهِمْۖ	pendengaran mereka
(2,7,7)	وَعَلَىٰٓ	dan atas
(2,7,8)	أَبْصَٰرِهِمْ	penglihatan mereka
(2,7,9)	غِشَٰوَةٌۖ	tutup/tabir
(2,7,10)	وَلَهُمْ	dan bagi mereka
(2,7,11)	عَذَابٌ	siksaan
(2,7,12)	عَظِيمٌ	besar/berat
(2,8,1)	وَمِنَ	dan diantara
(2,8,2)	ٱلنَّاسِ	manusia
(2,8,3)	مَن	orang yang
(2,8,4)	يَقُولُ	berkata
(2,8,5)	ءَامَنَّا	kami beriman
(2,8,6)	بِٱللَّهِ	kepada Allah
(2,8,7)	وَبِٱلْيَوْمِ	dan kepada hari
(2,8,8)	ٱلْءَاخِرِ	akhirat
(2,8,9)	وَمَا	dan bukanlah
(2,8,10)	هُم	mereka
(2,8,11)	بِمُؤْمِنِينَ	orang-orang yang beriman
(2,9,1)	يُخَٰدِعُونَ	mereka hendak menipu
(2,9,2)	ٱللَّهَ	Allah
(2,9,3)	وَٱلَّذِينَ	dan orang-orang yang
(2,9,4)	ءَامَنُوا۟	beriman
(2,9,5)	وَمَا	dan tidaklah
(2,9,6)	يَخْدَعُونَ	mereka menipu
(2,9,7)	إِلَّآ	kecuali
(2,9,8)	أَنفُسَهُمْ	diri mereka
(2,9,9)	وَمَا	dan tidaklah
(2,9,10)	يَشْعُرُونَ	mereka menyadari
(2,10,1)	فِى	di dalam
(2,10,2)	قُلُوبِهِم	hati mereka
(2,10,3)	مَّرَضٌ	penyakit
(2,10,4)	فَزَادَهُمُ	maka menambah
(2,10,5)	ٱللَّهُ	Allah
(2,10,6)	مَرَضًاۖ	penyakit
(2,10,7)	وَلَهُمْ	dan bagi mereka
(2,10,8)	عَذَابٌ	siksaan
(2,10,9)	أَلِيمٌۢ	yang sangat pedih
(2,10,10)	بِمَا	dengan sebab
(2,10,11)	كَانُوا۟	adalah mereka
(2,10,12)	يَكْذِبُونَ	berdusta
(2,11,1)	وَإِذَا	dan apabila
(2,11,2)	قِيلَ	ketika dikatakan
